split,classifier,accuracy,f1,precision,recall,training_time
22,LR,0.9216354344122658,0.921615659265628,0.9216914626678129,0.9216354344122658,0.044817209243774414
22,RF,0.8568994889267462,0.8561431661466429,0.8557445751876713,0.8568994889267462,0.35485363006591797
23,kNN,0.5059625212947189,0.5031939312304547,0.516918644783639,0.5059625212947189,0.0004837512969970703
23,SVM,0.8398637137989778,0.841207338811219,0.8438163526146825,0.8398637137989778,0.13014650344848633
23,NB,0.8211243611584327,0.8199963082939663,0.8199006532243713,0.8211243611584327,0.0019376277923583984
23,NN,0.8858603066439523,0.8864530088489432,0.8894213094689336,0.8858603066439523,0.3244438171386719
23,LR,0.9182282793867121,0.9184161317756688,0.9187311235761078,0.9182282793867121,0.04482913017272949
23,RF,0.8773424190800682,0.8773552592291969,0.8790567131994762,0.8773424190800682,0.34766077995300293
24,kNN,0.4787052810902896,0.4732552830783428,0.48657800927645173,0.4787052810902896,0.00044274330139160156
24,SVM,0.8296422487223168,0.8293526979121787,0.8291271655142143,0.8296422487223168,0.13365745544433594
24,NB,0.768313458262351,0.7679110582580428,0.7681433552443108,0.768313458262351,0.005093812942504883
24,NN,0.8807495741056218,0.8800891030613948,0.8802823494917247,0.8807495741056218,0.28162264823913574
24,LR,0.8977853492333902,0.8974920350332436,0.8974701737501113,0.8977853492333902,0.04436922073364258
24,RF,0.8517887563884157,0.8515418406680987,0.8514396059337117,0.8517887563884157,0.3613853454589844
25,kNN,0.4957410562180579,0.5013453029127535,0.5251148414380225,0.4957410562180579,0.0004286766052246094
25,SVM,0.838160136286201,0.8370363334585796,0.8367535674175934,0.838160136286201,0.12903738021850586
25,NB,0.817717206132879,0.816798409722539,0.816192064093926,0.817717206132879,0.0037343502044677734
25,NN,0.8909710391822828,0.8903297699271214,0.8902069996000125,0.8909710391822828,0.29174089431762695
25,LR,0.9165247018739353,0.9167847850162372,0.9174083273198278,0.9165247018739353,0.053624629974365234
25,RF,0.8807495741056218,0.880248032093012,0.8812950930638803,0.8807495741056218,0.34517765045166016
26,kNN,0.5076660988074957,0.5060017413072411,0.5156935666332277,0.5076660988074957,0.0004417896270751953
26,SVM,0.82793867120954,0.8297504989601108,0.8334164591186158,0.82793867120954,0.12913775444030762
26,NB,0.7734241908006815,0.7722364249583173,0.7716198641431327,0.7734241908006815,0.00602412223815918
26,NN,0.858603066439523,0.8595620768983114,0.8615512406047725,0.858603066439523,0.45752763748168945
26,LR,0.8943781942078365,0.894491530155821,0.8947355221631201,0.8943781942078365,0.03982710838317871
26,RF,0.8449744463373083,0.8442550790780349,0.8438336321754533,0.8449744463373083,0.34702396392822266
27,kNN,0.46678023850085176,0.46681858359308587,0.47062598163309144,0.46678023850085176,0.0004482269287109375
27,SVM,0.8347529812606473,0.8352480010541923,0.8363635596675772,0.8347529812606473,0.13166475296020508
27,NB,0.7836456558773425,0.7825186199358253,0.7831870454731255,0.7836456558773425,0.0042035579681396484
27,NN,0.8637137989778535,0.8630204492683095,0.8634661608075991,0.8637137989778535,0.570110559463501
27,LR,0.9028960817717206,0.902264987333317,0.9022709652571241,0.9028960817717206,0.047544002532958984
27,RF,0.848381601362862,0.8463950659868249,0.8470659728189807,0.848381601362862,0.333911657333374
28,kNN,0.4684838160136286,0.46522750471766855,0.4724586487444317,0.4684838160136286,0.00043702125549316406
28,SVM,0.8551959114139693,0.8549866401854594,0.8553660266943276,0.8551959114139693,0.13149571418762207
28,NB,0.797274275979557,0.7983848839281044,0.8000355682200965,0.797274275979557,0.004829883575439453
28,NN,0.8807495741056218,0.8811008980504209,0.8819962447989816,0.8807495741056218,0.30739831924438477
28,LR,0.8960817717206133,0.8957618663727037,0.8968358248673984,0.8960817717206133,0.05037069320678711
28,RF,0.8807495741056218,0.8807631768069042,0.881423845446313,0.8807495741056218,0.33665919303894043
29,kNN,0.47018739352640543,0.46667232908290146,0.4805060867670358,0.47018739352640543,0.0004775524139404297
29,SVM,0.8364565587734242,0.8364809240766841,0.8367285190954739,0.8364565587734242,0.12578058242797852
29,NB,0.8006814310051107,0.8014843452108202,0.8025064731877727,0.8006814310051107,0.004635810852050781
29,NN,0.8551959114139693,0.8549124744798539,0.8550842149767548,0.8551959114139693,0.26775360107421875
29,LR,0.889267461669506,0.8890645145889648,0.888936313089306,0.889267461669506,0.048502445220947266
29,RF,0.8432708688245315,0.8429583250366897,0.8427716995536338,0.8432708688245315,0.3283860683441162
